p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=16; d=1*p^22+...; I=[ 7, 7, 7, 7, 0 ]; R=[ <1, 7>, <16, 0> ]; A=<t + 1>; f=x^16 + 2*x^7 + 2; Aut=1T1; Gal=16T1079
p=2; n=16; d=1*p^22+...; I=[ 7, 2, 2, 2, 0 ]; R=[ <1, 7>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^7 + 2*x^2 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^22+...; I=[ 7, 2, 2, 2, 0 ]; R=[ <1, 7>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^12 + 2*x^7 + 2*x^2 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^22+...; I=[ 7, 2, 2, 2, 0 ]; R=[ <1, 7>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^11 + 2*x^7 + 2*x^2 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^22+...; I=[ 7, 2, 2, 2, 0 ]; R=[ <1, 7>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^12 + 2*x^11 + 2*x^7 + 2*x^2 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^22+...; I=[ 7, 2, 2, 2, 0 ]; R=[ <1, 7>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^9 + 2*x^7 + 2*x^2 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^22+...; I=[ 7, 2, 2, 2, 0 ]; R=[ <1, 7>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^12 + 2*x^9 + 2*x^7 + 2*x^2 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^22+...; I=[ 7, 2, 2, 2, 0 ]; R=[ <1, 7>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^11 + 2*x^9 + 2*x^7 + 2*x^2 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^22+...; I=[ 7, 2, 2, 2, 0 ]; R=[ <1, 7>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^12 + 2*x^11 + 2*x^9 + 2*x^7 + 2*x^2 + 2; Aut=2T1; Gal=16T1503
p=2; n=16; d=1*p^22+...; I=[ 7, 6, 6, 6, 0 ]; R=[ <1, 7>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^7 + 2*x^6 + 2; Aut=2T1; Gal=16T1503
p=2; n=16; d=1*p^22+...; I=[ 7, 6, 6, 6, 0 ]; R=[ <1, 7>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^8 + 2*x^7 + 2*x^6 + 2; Aut=2T1; Gal=16T1503
p=2; n=16; d=1*p^22+...; I=[ 7, 7, 4, 4, 0 ]; R=[ <1, 7>, <4, 4>, <16, 0> ]; A=<t^3 + 1, t^4 + 1>; f=x^16 + 2*x^7 + 2*x^4 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^22+...; I=[ 7, 7, 4, 4, 0 ]; R=[ <1, 7>, <4, 4>, <16, 0> ]; A=<t^3 + 1, t^4 + 1>; f=x^16 + 2*x^8 + 2*x^7 + 2*x^4 + 2; Aut=2T1; Gal=16T1061
p=2; n=16; d=1*p^22+...; I=[ 7, 6, 4, 4, 0 ]; R=[ <1, 7>, <2, 6>, <4, 4>, <16, 0> ]; A=<t^3 + t + 1, t^4 + 1>; f=x^16 + 2*x^7 + 2*x^6 + 2*x^4 + 2; Aut=1T1; Gal=16T1649
 
